Web Link,Organisation ID,URN,LAESTAB,School name,Region,Ofsted region,Local authority,Parliamentary constituency,Postcode,Type of education,Phase of education,Sixth form,Predecessor URN,Number of warning notices issued in 2017/18 academic year,Total number of pupils,Deprivation index,Inspection number,Inspection start date,Inspection end date,Publication date,Inspection type,Inspection type grouping,Event type grouping,Overall effectiveness,Category of concern,Outcomes for pupils,"Quality of teaching, learning and assessment",Effectiveness of leadership and management,"Personal development, behaviour and welfare",Early years provision (where applicable),16 - 19 study programmes,Previous inspection number,Previous inspection start date,Previous inspection end date,Previous publication date,Previous overall effectiveness,Previous category of concern,Previous outcomes for pupils,"Previous quality of teaching, learning and assessment",Previous effectiveness of leadership and management,"Previous personal development, behaviour and welfare",Previous early years provision (where applicable),Previous 16 - 19 study programmes,Provider open date - QA,Provider open reason - QA,Provider closed date - QA,Provider closed reason - QA,OB number on Roll,Withdrawn date,Previous withdrawn date
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123097,1126163,123097,9313044,Hook Norton Church of England Primary School,South East,South East,Oxfordshire,Banbury,OX15 5JS,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,247,1,ITS411964,16/04/2013,17/04/2013,09/05/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS327847,10/03/2009,10/03/2009,27/03/2009,1,,1,1,1,9,1,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123103,1126343,123103,9313085,Launton Church of England Primary School,South East,South East,Oxfordshire,Banbury,OX26 5DP,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,143,1,ITS426496,12/09/2013,13/09/2013,03/10/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS380595,10/10/2011,11/10/2011,07/11/2011,3,,3,3,3,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123108,1126019,123108,9313123,Hailey Church of England Primary School,South East,South East,Oxfordshire,Witney,OX29 9UB,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,109,1,ITS367427,08/06/2011,09/06/2011,27/06/2011,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS314496,15/07/2008,15/07/2008,08/09/2008,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123080,1105789,123080,9312595,Carswell Community Primary School,South East,South East,Oxfordshire,Oxford West and Abingdon,OX14 1DP,Community School,Primary,Does not have a sixth form,NULL,,261,1,ITS461942,20/05/2015,21/05/2015,23/06/2015,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS380590,28/05/2012,29/05/2012,20/06/2012,2,,2,2,2,9,8,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123199,1123286,123199,9313760,St Laurence Church of England (A) School,South East,South East,Oxfordshire,Henley,OX10 7DX,Voluntary Aided School,Primary,Does not have a sixth form,NULL,,94,1,ITS412175,30/04/2013,01/05/2013,23/05/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS340304,26/05/2010,27/05/2010,21/06/2010,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140344,1140979,140344,9312009,Wheatley Church of England Primary School,South East,South East,Oxfordshire,Henley,OX33 1NN,Academy Sponsor Led,Primary,Does not have a sixth form,NULL,,348,2,10026739,07/02/2017,08/02/2017,05/04/2017,Academy First Section 5,Academy First Section 5,Schools - S5,4,SM,3,3,4,4,4,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01/03/2014,New Provision,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123110,1127305,123110,9313125,St Kenelm's Church of England (VC) School,South East,South East,Oxfordshire,Witney,OX29 0SP,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,98,1,ITS431432,21/01/2014,22/01/2014,12/02/2014,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS327850,13/07/2009,13/07/2009,09/09/2009,2,,2,2,2,9,1,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142152,1159537,142152,9313128,North Leigh Church of England (Controlled) School,South East,South East,Oxfordshire,Witney,OX29 6SS,Academy Converter,Primary,Does not have a sixth form,123112,,178,1,ITS367428,07/07/2011,08/07/2011,09/09/2011,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS314499,21/05/2008,22/05/2008,16/06/2008,2,,2,2,2,9,2,9,01/07/2015,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/137919,1143906,137919,9314054,Bartholomew School,South East,South East,Oxfordshire,Witney,OX29 4AP,Academy Converter,Secondary,Has a sixth form,123239,,1221,1,ITS412313,21/05/2013,22/05/2013,13/06/2013,S5 Inspection,S5 Inspection,Schools - S5,1,,1,1,1,9,9,9,ITS327875,19/05/2009,19/05/2009,15/06/2009,1,,1,1,1,9,9,2,01/03/2012,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123146,1125678,123146,9313223,Cumnor Church of England School (Voluntary Controlled),South East,South East,Oxfordshire,Oxford West and Abingdon,OX2 9PQ,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,208,1,ITS408604,21/03/2013,22/03/2013,19/04/2013,Special Measures Historic,Section 8 deemed section 5 (excluding short inspections),Schools - S8 deemed S5,2,,2,2,2,9,9,9,ITS380606,22/02/2012,23/02/2012,24/04/2012,4,SM,4,4,4,9,8,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140293,1145843,140293,9313239,Shrivenham Church of England Controlled School,South East,South East,Oxfordshire,Wantage,SN6 8AA,Academy Converter,Primary,Does not have a sixth form,123158,,184,1,ITS402140,12/03/2013,13/03/2013,18/04/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS340295,13/07/2010,14/07/2010,08/09/2010,3,,3,3,3,9,2,9,01/11/2013,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123127,1125570,123127,9313183,Clifton Hampden Church of England Primary School,South East,South East,Oxfordshire,Henley,OX14 3EE,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,72,2,ITS359368,18/11/2010,19/11/2010,10/12/2010,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS314507,16/10/2007,16/10/2007,05/11/2007,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123011,1110978,123011,9312210,King's Meadow Primary School,South East,South East,Oxfordshire,Banbury,OX26 2LU,Community School,Primary,Does not have a sixth form,NULL,,405,2,ITS461941,03/06/2015,04/06/2015,26/06/2015,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS395390,15/05/2012,16/05/2012,01/06/2012,2,,2,2,2,9,8,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123333,1130831,123333,9317011,John Watson School,South East,South East,Oxfordshire,Henley,OX33 1NN,Community Special School,Special,Has a sixth form,NULL,,80,2,10002331,24/05/2016,25/05/2016,21/06/2016,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,2,2,2,ITS426396,05/11/2013,06/11/2013,28/11/2013,3,,3,3,3,9,9,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123027,1115507,123027,9312401,Sandhills Community Primary School,South East,South East,Oxfordshire,Oxford East,OX3 8FN,Community School,Primary,Does not have a sixth form,NULL,,311,3,ITS429594,18/03/2014,19/03/2014,25/04/2014,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS380574,23/04/2012,24/04/2012,16/05/2012,3,,3,3,3,9,8,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139528,1146028,139528,9314145,St Gregory the Great Catholic School,South East,South East,Oxfordshire,Oxford East,OX4 3DR,Academy Converter,Secondary,Has a sixth form,133644,,1348,4,10032876,15/03/2017,16/03/2017,16/05/2017,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,4,SM,3,3,4,4,2,4,ITS449798,24/03/2015,25/03/2015,23/04/2015,3,,3,3,3,9,2,2,01/04/2013,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138499,1138953,138499,9314000,Banbury Academy,South East,South East,Oxfordshire,Banbury,OX16 9HY,Academy Sponsor Led,Secondary,Has a sixth form,NULL,,751,3,10012330,08/06/2016,09/06/2016,05/07/2016,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,3,,3,3,3,3,9,3,ITS426389,17/06/2014,18/06/2014,13/08/2014,3,,3,3,3,9,9,9,01/08/2012,New Provision,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140255,1146767,140255,9313246,Wantage Church of England Primary School,South East,South East,Oxfordshire,Wantage,OX12 8DJ,Academy Converter,Primary,Does not have a sixth form,123165,,445,3,ITS450372,24/06/2015,25/06/2015,20/07/2015,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS340298,08/02/2010,09/02/2010,05/03/2010,2,,1,2,2,9,2,9,01/10/2013,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140473,1146500,140473,9313250,The Hendreds Church of England School,South East,South East,Oxfordshire,Wantage,OX12 8JX,Academy Converter,Primary,Does not have a sixth form,123169,,144,1,10019402,01/11/2016,02/11/2016,25/11/2016,Maintained Academy and School Short inspection,Short inspection � converted,Schools - Short inspection Conversion,1,,1,1,1,1,1,9,ITS359377,09/02/2011,10/02/2011,03/06/2011,2,,2,2,2,9,3,9,01/12/2013,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142140,1159528,142140,9313131,Bampton CofE Primary School,South East,South East,Oxfordshire,Witney,OX18 2NJ,Academy Converter,Primary,Does not have a sixth form,123114,,171,2,ITS453548,04/03/2015,05/03/2015,26/03/2015,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,9,2,9,ITS412086,07/03/2013,08/03/2013,15/04/2013,3,,3,3,3,9,9,9,01/07/2015,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123330,1131829,123330,9317005,Mulberry Bush School,South East,South East,Oxfordshire,Witney,OX29 7RW,Non-Maintained Special School,Special,Does not have a sixth form,NULL,,26,3,ITS403523,06/11/2012,07/11/2012,28/11/2012,S5 Inspection,S5 Inspection,Schools - S5,1,,1,1,1,9,9,9,ITS314561,06/03/2008,06/03/2008,27/03/2008,1,,1,1,1,9,9,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139998,1147057,139998,9314003,Heyford Park Free School,South East,South East,Oxfordshire,Banbury,OX25 5HD,Free School,Secondary,Not applicable,NULL,,387,1,ITS450108,28/04/2015,29/04/2015,21/05/2015,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,3,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02/09/2013,New Provision,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123084,1118781,123084,9312601,West Witney Primary School,South East,South East,Oxfordshire,Witney,OX28 5FZ,Community School,Primary,Does not have a sixth form,NULL,,339,2,ITS453551,03/02/2015,04/02/2015,02/03/2015,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,9,2,9,ITS406137,20/02/2013,21/02/2013,14/03/2013,3,,3,3,3,9,9,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138210,1146502,138210,9314050,The Henry Box School,South East,South East,Oxfordshire,Witney,OX28 4AX,Academy Converter,Secondary,Has a sixth form,123237,,1226,1,10037807,21/11/2017,22/11/2017,15/01/2018,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,2,9,2,ITS412816,25/06/2013,26/06/2013,17/07/2013,2,,2,2,2,9,9,9,01/06/2012,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/137357,1146758,137357,9314140,Wallingford School,South East,South East,Oxfordshire,Wantage,OX10 8HH,Academy Converter,Secondary,Has a sixth form,123261,,1199,1,10024678,14/03/2017,14/03/2017,06/04/2017,Maintained Academy and School Short inspection,Short inspection � converted,Schools - Short inspection Conversion,2,,2,1,1,2,9,2,ITS406668,22/11/2012,23/11/2012,14/12/2012,2,,2,2,2,9,9,9,01/09/2011,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123028,1114735,123028,9312450,RAF Benson Community Primary School,South East,South East,Oxfordshire,Henley,OX10 6EP,Community School,Primary,Does not have a sixth form,NULL,,185,1,ITS402127,18/10/2012,19/10/2012,12/11/2012,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS340260,14/10/2009,15/10/2009,09/11/2009,3,,3,3,3,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141231,1138968,141231,9312015,Bayards Hill School,South East,South East,Oxfordshire,Oxford East,OX3 9NU,Academy Sponsor Led,Primary,Does not have a sixth form,NULL,,416,5,10036790,11/10/2017,12/10/2017,14/11/2017,Academy First Section 5,Academy First Section 5,Schools - S5,3,,3,3,2,2,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01/10/2014,New Provision,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123008,1111814,123008,9312207,Longfields Primary and Nursery School,South East,South East,Oxfordshire,Banbury,OX26 6QL,Community School,Primary,Does not have a sixth form,NULL,,348,2,ITS402124,13/11/2012,14/11/2012,11/04/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS340257,25/01/2010,26/01/2010,28/04/2010,3,,3,3,3,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123104,1125869,123104,9313090,Finmere Church of England Primary School,South East,South East,Oxfordshire,Banbury,MK18 4AR,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,31,1,ITS426497,15/10/2013,16/10/2013,11/11/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS380596,19/10/2011,20/10/2011,09/11/2011,3,,3,3,3,9,3,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123188,1122556,123188,9313505,St Edburg's Church of England (VA) School,South East,South East,Oxfordshire,Banbury,OX26 1BF,Voluntary Aided School,Primary,Does not have a sixth form,NULL,,241,1,10019889,23/11/2016,24/11/2016,11/01/2017,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,2,2,9,ITS449187,17/09/2014,18/09/2014,09/10/2014,3,,3,3,3,9,3,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141364,1139925,141364,9312016,Millbrook Primary School,South East,South East,Oxfordshire,Wantage,OX12 7LB,Academy Sponsor Led,Primary,Does not have a sixth form,NULL,,433,2,10036789,20/09/2017,21/09/2017,12/10/2017,Academy First Section 5,Academy First Section 5,Schools - S5,3,,3,3,2,2,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01/12/2014,New Provision,NULL,Unknown,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/144530,1256013,144530,9313452,Deddington Church of England Primary School,South East,South East,Oxfordshire,Banbury,OX15 0TJ,Academy Converter,Primary,Does not have a sixth form,123185,,195,1,ITS449089,05/11/2014,06/11/2014,27/11/2014,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,9,2,9,ITS403516,13/11/2012,14/11/2012,05/12/2012,3,,3,3,3,9,9,9,01/07/2017,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123125,1125207,123125,9313181,Benson Church of England Primary School,South East,South East,Oxfordshire,Henley,OX10 6LX,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,202,1,ITS453543,26/02/2015,27/02/2015,23/03/2015,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,9,2,9,ITS402136,21/02/2013,22/02/2013,15/03/2013,3,,3,3,3,9,9,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123025,1113414,123025,9312357,North Kidlington Primary School,South East,South East,Oxfordshire,Oxford West and Abingdon,OX5 2DA,Community School,Primary,Does not have a sixth form,NULL,,292,2,ITS449312,09/12/2014,10/12/2014,08/01/2015,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS359347,02/03/2011,03/03/2011,24/03/2011,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123196,1124955,123196,9313657,Wootton-by-Woodstock Church of England (Aided) Primary School,South East,South East,Oxfordshire,Witney,OX20 1DH,Voluntary Aided School,Primary,Does not have a sixth form,NULL,,56,1,ITS462384,22/04/2015,23/04/2015,20/05/2015,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,9,2,9,ITS403517,25/04/2013,26/04/2013,20/05/2013,3,,3,3,3,9,9,9,NULL,Not applicable,NULL,Academy Converter,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140916,1144615,140916,9313208,Freeland Church of England Primary School,South East,South East,Oxfordshire,Witney,OX29 8HX,Academy Converter,Primary,Does not have a sixth form,123138,,135,1,ITS380604,10/10/2011,11/10/2011,25/11/2011,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS327856,09/07/2009,10/07/2009,10/09/2009,2,,2,2,2,9,2,9,01/06/2014,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138501,1139249,138501,9312003,Dashwood Banbury Academy,South East,South East,Oxfordshire,Banbury,OX16 4RX,Academy Sponsor Led,Primary,Does not have a sixth form,NULL,,381,4,ITS426381,14/01/2014,15/01/2014,05/02/2014,Academy First Section 5,Academy First Section 5,Schools - S5,2,,2,2,2,9,9,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01/08/2012,New Provision,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140580,1145025,140580,9314126,John Mason School,South East,South East,Oxfordshire,Oxford West and Abingdon,OX14 1JB,Academy Converter,Secondary,Has a sixth form,123256,,961,1,10024550,31/01/2017,01/02/2017,08/03/2017,Maintained Academy and School Short inspection,Short inspection � converted,Schools - Short inspection Conversion,3,,3,3,2,2,9,2,ITS380630,16/11/2011,17/11/2011,06/12/2011,2,,2,2,2,9,9,2,01/02/2014,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123170,1127877,123170,9313251,Uffington Church of England Primary School,South East,South East,Oxfordshire,Wantage,SN7 7RA,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,112,1,ITS380612,16/05/2012,17/05/2012,13/06/2012,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,8,9,ITS314523,10/06/2008,10/06/2008,26/06/2008,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123159,1127609,123159,9313240,Stanford in the Vale Church of England Primary School,South East,South East,Oxfordshire,Wantage,SN7 8LH,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,206,1,ITS403514,19/02/2013,20/02/2013,13/03/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS314519,19/03/2008,20/03/2008,23/04/2008,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140875,1146847,140875,9314077,Wheatley Park School,South East,South East,Oxfordshire,Henley,OX33 1QH,Academy Converter,Secondary,Has a sixth form,123243,,1005,2,ITS400120,13/03/2013,14/03/2013,18/04/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS362846,01/02/2011,02/02/2011,02/03/2011,3,,3,3,2,9,9,3,01/05/2014,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/130962,1111320,130962,9312608,Langford Village Community School,South East,South East,Oxfordshire,Banbury,OX26 6SX,Community School,Primary,Does not have a sixth form,NULL,,469,1,ITS406399,05/06/2013,06/06/2013,27/06/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS360176,18/10/2010,19/10/2010,13/11/2010,3,,3,2,3,9,2,9,08/01/1996,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123228,1119923,123228,9313859,All Saints Church of England (Aided) Primary School,South East,South East,Oxfordshire,Wantage,OX11 7QH,Voluntary Aided School,Primary,Does not have a sixth form,NULL,,466,1,10024573,17/01/2017,18/01/2017,20/02/2017,Maintained Academy and School Short inspection,Short inspection � converted,Schools - Short inspection Conversion,3,,3,3,3,2,2,9,ITS380624,15/03/2012,16/03/2012,18/04/2012,2,,2,2,2,9,8,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140301,1146781,140301,9312572,Watchfield Primary School,South East,South East,Oxfordshire,Wantage,SN6 8SD,Academy Converter,Primary,Does not have a sixth form,123068,,334,1,ITS359355,03/11/2010,04/11/2010,25/11/2010,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS314477,25/03/2008,26/03/2008,25/04/2008,2,,2,2,2,9,2,9,01/11/2013,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141155,1146091,141155,9313825,"St Joseph's Catholic Primary School, Banbury",South East,South East,Oxfordshire,Banbury,OX16 0ET,Academy Converter,Primary,Does not have a sixth form,123208,,217,4,10032479,12/07/2017,13/07/2017,15/09/2017,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,2,3,9,ITS402144,28/11/2012,29/11/2012,20/12/2012,3,,3,3,3,9,9,9,01/08/2014,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123074,1119492,123074,9312589,Wood Farm Primary School,South East,South East,Oxfordshire,Oxford East,OX3 8QQ,Community School,Primary,Does not have a sixth form,NULL,,370,4,ITS380589,27/06/2012,28/06/2012,19/07/2012,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS327843,25/02/2009,26/02/2009,17/03/2009,3,,3,3,3,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140217,1143734,140217,9317003,"Endeavour Academy, Oxford",South East,South East,Oxfordshire,Oxford East,OX3 8DD,Academy Special Sponsor Led,Special,Has a sixth form,NULL,,26,3,10032828,17/05/2017,18/05/2017,19/06/2017,Academy First Section 5,Academy First Section 5,Schools - S5,2,,2,2,2,2,9,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01/09/2014,New Provision,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123006,1108212,123006,9312200,Five Acres Primary School,South East,South East,Oxfordshire,Banbury,OX25 2SN,Community School,Primary,Does not have a sixth form,NULL,,375,1,10019887,30/11/2016,01/12/2016,10/01/2017,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,2,2,9,ITS447799,12/11/2014,13/11/2014,04/12/2014,3,,3,3,3,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/144008,1252374,144008,9314052,Wood Green School,South East,South East,Oxfordshire,Witney,OX28 1DX,Academy Converter,Secondary,Has a sixth form,123238,,938,1,ITS461460,17/06/2015,18/06/2015,14/07/2015,Schools into Special Measures Visit 5,Section 8 deemed section 5 (excluding short inspections),Schools - S8 deemed S5,2,,2,2,2,9,9,2,ITS426689,09/10/2013,10/10/2013,19/11/2013,4,SM,4,4,4,9,9,9,01/02/2017,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141146,1143999,141146,9314600,Blessed George Napier Catholic School and Sports College,South East,South East,Oxfordshire,Banbury,OX16 9DG,Academy Converter,Secondary,Has a sixth form,123270,,855,2,10026762,06/06/2017,07/06/2017,30/06/2017,Maintained Academy and School Short inspection,Short inspection � converted,Schools - Short inspection Conversion,2,,2,2,2,1,9,2,ITS380635,08/03/2012,09/03/2012,16/04/2012,2,,2,2,2,9,9,9,01/08/2014,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
